,SimulatedAnnealing,RandomSearch,hyperheuristic
0,5441.0,5441.0,10744.0
1,12619.0,12619.0,25187.0
2,18437.0,18437.0,47521.0
3,33911.0,33911.0,97756.0
4,73715.0,73715.0,245518.0
5,135608.0,135608.0,495441.0
6,1022.0,1022.0,862.0
7,1082.0,1082.0,1043.0
8,3160.0,3160.0,3105.0
9,5825.0,5825.0,6152.0
10,11193.0,11193.0,11972.0
11,27843.0,27843.0,27980.0
12,55942.0,55942.0,59020.0
13,1948.0,1948.0,2375.0
14,2193.0,2193.0,2649.0
15,4017.0,4017.0,7098.0
16,6890.0,6890.0,14374.0
17,13518.0,13518.0,28827.0
18,32805.0,32805.0,72446.0
19,64719.0,64719.0,146888.0
20,208.0,208.0,214.0
21,978.0,978.0,949.0
22,35.0,35.0,35.0
23,16.0,16.0,16.0
24,377.0,377.0,354.0
25,43.0,43.0,50.0
26,102.0,102.0,79.0
27,9740.0,9740.0,9554.0
28,130.0,130.0,130.0
29,985.0,985.0,950.0
